year,week,matchup_type,home_team_id,home_team,home_owner_ids,home_owner_names,home_score,home_projected,away_team_id,away_team,away_owner_ids,away_owner_names,away_score,away_projected,is_bye,winner,score_difference,home_starters_ids,home_bench_ids,away_starters_ids,away_bench_ids
2014,1,REGULAR,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,85.0,,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,81.0,,False,HOME,4.0,,,,
2014,1,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,118.0,,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,79.0,,False,HOME,39.0,,,,
2014,1,REGULAR,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,85.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,68.0,,False,HOME,17.0,,,,
2014,1,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,111.0,,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,90.0,,False,HOME,21.0,,,,
2014,1,REGULAR,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,60.0,,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,86.0,,False,AWAY,-26.0,,,,
2014,2,REGULAR,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,86.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,90.0,,False,AWAY,-4.0,,,,
2014,2,REGULAR,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,93.0,,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,57.0,,False,HOME,36.0,,,,
2014,2,REGULAR,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,78.0,,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,117.0,,False,AWAY,-39.0,,,,
2014,2,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,87.0,,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,70.0,,False,HOME,17.0,,,,
2014,2,REGULAR,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,94.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,85.0,,False,HOME,9.0,,,,
2014,3,REGULAR,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,74.0,,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,104.0,,False,AWAY,-30.0,,,,
2014,3,REGULAR,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,53.0,,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,104.0,,False,AWAY,-51.0,,,,
2014,3,REGULAR,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,103.0,,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,62.0,,False,HOME,41.0,,,,
2014,3,REGULAR,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,68.0,,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,98.0,,False,AWAY,-30.0,,,,
2014,3,REGULAR,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,59.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,46.0,,False,HOME,13.0,,,,
2014,4,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,68.0,,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,72.0,,False,AWAY,-4.0,,,,
2014,4,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,111.0,,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,74.0,,False,HOME,37.0,,,,
2014,4,REGULAR,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,53.0,,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,121.0,,False,AWAY,-68.0,,,,
2014,4,REGULAR,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,110.0,,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,80.0,,False,HOME,30.0,,,,
2014,4,REGULAR,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,81.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,111.0,,False,AWAY,-30.0,,,,
2014,5,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,67.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,95.0,,False,AWAY,-28.0,,,,
2014,5,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,55.0,,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,57.0,,False,AWAY,-2.0,,,,
2014,5,REGULAR,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,92.0,,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,111.0,,False,AWAY,-19.0,,,,
2014,5,REGULAR,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,110.0,,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,57.0,,False,HOME,53.0,,,,
