year,team_id,team_name,owner_ids,owner_names,points_for,points_against,projected_for,projected_against,wins,losses,ties,championship_appearance,championship_win
2014,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,82.0,97.0,0.0,0.0,0,1,0,0,0
2014,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,0.0,0.0,0.0,0.0,0,0,0,0,0
2014,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,0.0,0.0,0.0,0.0,0,0,0,0,0
2014,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,163.0,201.0,0.0,0.0,1,1,0,1,0
2014,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,60.0,97.0,0.0,0.0,0,1,0,0,0
2014,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,0.0,0.0,0.0,0.0,0,0,0,0,0
2014,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,150.0,204.0,0.0,0.0,1,1,0,0,0
2014,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,263.0,119.0,0.0,0.0,2,0,0,1,1
2014,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,0.0,0.0,0.0,0.0,0,0,0,0,0
2014,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2015,1,Mimsy's Nut Biters,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,0.0,0.0,0.0,0.0,0,0,0,0,0
2015,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,147.0,172.0,0.0,0.0,1,1,0,1,0
2015,3,Midget Jes̼s,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,0.0,0.0,0.0,0.0,0,0,0,0,0
