year,team_id,team_name,owner_ids,owner_names,points_for,points_against,projected_for,projected_against,wins,losses,ties
2014,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1144.0,1101.0,0.0,0.0,8,5,0
2014,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,937.0,1267.0,0.0,0.0,3,10,0
2014,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,995.0,1235.0,0.0,0.0,4,9,0
2014,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,1271.0,955.0,0.0,0.0,9,4,0
2014,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,1161.0,1069.0,0.0,0.0,6,7,0
2014,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,1086.0,1161.0,0.0,0.0,6,7,0
2014,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,1154.0,1044.0,0.0,0.0,9,4,0
2014,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,1374.0,995.0,0.0,0.0,11,2,0
2014,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,953.0,1046.0,0.0,0.0,5,8,0
2014,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,849.0,1051.0,0.0,0.0,4,9,0
2015,1,Mimsy's Nut Biters,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1096.0,1092.0,0.0,0.0,7,6,0
2015,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,1060.0,953.0,0.0,0.0,9,3,1
2015,3,Midget JesÃºs,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,880.0,1204.0,0.0,0.0,2,11,0
2015,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,1154.0,1119.0,0.0,0.0,6,7,0
2015,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,1227.0,1190.0,0.0,0.0,7,6,0
2015,6,Dez Caught it,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,1118.0,1113.0,0.0,0.0,7,6,0
2015,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,1162.0,1158.0,0.0,0.0,5,8,0
2015,8,Team Dubnation,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,1201.0,1069.0,0.0,0.0,8,5,0
2015,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,1197.0,1068.0,0.0,0.0,9,4,0
2015,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,1114.0,1038.0,0.0,0.0,8,4,1
2015,11,The  Legends,"{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE}, {CB8801B1-2DC9-47DB-9752-626600865D83}","Brett, Connor",1004.0,1110.0,0.0,0.0,5,8,0
2015,12,Ruddy Ducks,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,1166.0,1265.0,0.0,0.0,4,9,0
2016,1,Easy Breesey,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1350.0,1149.0,0.0,0.0,7,6,0
2016,2,Goat Rom Bronkowski,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,876.0,1129.0,0.0,0.0,1,11,1
2016,3,Treeout Gold,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,1158.0,1171.0,0.0,0.0,6,6,1
2016,4,Green is done So is my team ,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,1211.0,1110.0,0.0,0.0,8,4,1
2016,5,R I P,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,1030.0,1089.0,0.0,0.0,7,6,0
2016,6,GRONK if  You Love Bell,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,1044.0,1006.0,0.0,0.0,8,5,0
2016,7,Stafford forMVP OBJs a whore,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,1102.0,1274.0,0.0,0.0,4,9,0
2016,8,Hiltonhead Sharks,{8E76C98C-033D-48E5-8735-71752E421497},Carson,1243.0,1168.0,0.0,0.0,7,6,0
2016,9,Harambe's Still Alive,{4E3A897B-4C6E-4A17-BA89-7B4C6E1A1789},Will,1160.0,1158.0,0.0,0.0,7,6,0
2016,10,QB 1,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,1153.0,1025.0,0.0,0.0,8,5,0
2016,11,I LOVE  STAFFORD,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,1047.0,1141.0,0.0,0.0,5,7,1
2016,12,Ruddy Ducks,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,1070.0,1024.0,0.0,0.0,8,5,0
2017,1,The Empire Strikes Back,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1174.76,1154.4799999999998,0.0,0.0,8,5,0
2017,2, Madden Boujee,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,1031.98,1336.12,0.0,0.0,2,11,0
2017,3,Lil Uzi Ertz,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,1021.24,1174.6799999999998,0.0,0.0,5,8,0
2017,4,I  GIVE UP,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,1148.14,1139.56,0.0,0.0,6,7,0
2017,5,He Has Risen,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,1176.9,1206.04,0.0,0.0,7,6,0
2017,6,Dez  Caught it,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,1352.0999999999997,1125.74,0.0,0.0,9,4,0
2017,7,Survive And Advance,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,1015.98,1003.1600000000001,0.0,0.0,8,5,0
2017,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,1203.28,1242.76,0.0,0.0,6,7,0
2017,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,1207.9,1013.68,0.0,0.0,9,4,0
2017,11,Gay Seaturtle,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,1124.88,1071.88,0.0,0.0,7,6,0
2017,12,Hooked on A Thielen,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,1229.28,1140.7599999999998,0.0,0.0,7,6,0
2017,13,Fratboi Carti,{2615CE14-DE41-462C-A141-C106A137008F},Will,1040.5200000000002,1118.1,0.0,0.0,4,9,0
2018,1,Class Acts,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1366.4,1274.8,0.0,0.0,9,4,0
2018,2,hearts on all my cardis,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,1308.56,1238.3,0.0,0.0,7,6,0
2018,3,Lil Lucifer,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,1162.46,1254.34,0.0,0.0,5,8,0
2018,4,Big Fella,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,1493.76,1168.9399999999998,0.0,0.0,10,3,0
2018,5,Joeys Thielen Gurley n Chubby,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,1530.94,1307.32,0.0,0.0,8,5,0
2018,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,1369.4399999999998,1314.6,0.0,0.0,8,5,0
2018,7,Not Last Place,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,1236.96,1273.7000000000003,0.0,0.0,4,9,0
2018,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,1328.2399999999998,1319.82,0.0,0.0,9,4,0
2018,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,1236.6599999999999,1322.5200000000002,0.0,0.0,8,5,0
2018,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,1207.48,1316.48,0.0,0.0,4,9,0
2018,12,Matt Prater,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,1022.78,1294.54,0.0,0.0,2,11,0
2018,13,Down Syndrome Ape,{2615CE14-DE41-462C-A141-C106A137008F},Will,1048.98,1227.3000000000002,0.0,0.0,4,9,0
2019,1,Year 6 is a Feel Out Year,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1051.0600000000002,1160.9799999999998,1225.3,1233.21,4,9,0
2019,2,Chub’s  for Chubb,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,1284.78,1251.74,1177.3799999999999,1224.12,7,6,0
2019,3,Lil Lucifer,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,1191.52,1070.72,1234.19,1252.1599999999999,8,5,0
2019,4,Big Fella,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,1276.52,1297.8400000000001,1329.08,1212.9900000000002,8,5,0
2019,5,. .,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,1059.54,1263.76,1113.3999999999999,1251.0299999999997,5,8,0
2019,6,Is my team Finna show up,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,1149.8,1216.74,1138.85,1212.27,7,6,0
2019,7,Big Baller Shot Caller,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,1138.3600000000001,1235.8,1191.58,1208.1999999999998,6,7,0
2019,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,1281.58,1187.2599999999998,1281.2399999999998,1203.64,7,6,0
2019,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,1347.16,1141.4799999999998,1303.63,1216.1200000000001,9,4,0
2019,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,1149.5,1206.68,1157.17,1281.5699999999997,5,8,0
2019,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,1345.86,1224.1000000000001,1278.2100000000003,1164.15,7,6,0
2019,13,Dak = 🐐,{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,1191.7,1210.28,1242.8499999999997,1213.4199999999998,5,8,0
2020,1,Year 7 is a Feel Out Year,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1394.5,1487.16,1344.0400000000002,1404.08,6,7,0
2020,2,"Lights, Kamara, Action",{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,1479.54,1257.3400000000001,1460.9499999999998,1390.82,7,6,0
2020,3,Cook and  Steel,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,1557.08,1417.1999999999998,1415.2300000000002,1412.89,10,3,0
2020,4,Director  of Fantasy,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,1481.0200000000002,1289.3400000000001,1409.34,1422.26,7,6,0
2020,5,Beast Zeke,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,1224.6,1418.56,1356.11,1433.7600000000002,2,11,0
2020,6,Alice's  All stars ,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,1500.2200000000003,1332.1399999999996,1462.32,1390.36,10,3,0
2020,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,1299.62,1286.1599999999999,1411.63,1315.8799999999999,7,6,0
2020,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,1269.36,1396.8400000000004,1383.8799999999999,1387.6700000000005,5,8,0
2020,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,1361.0800000000002,1414.1,1369.0600000000002,1367.79,5,8,0
2020,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,1270.5399999999997,1423.9600000000003,1286.2,1401.0499999999997,5,8,0
2020,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,1432.3199999999997,1524.28,1399.26,1387.8300000000002,6,7,0
2020,13,Patrick's Mahomo's,{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,1289.8400000000001,1312.6399999999999,1389.6399999999999,1373.27,8,5,0
2021,1,Real Football Team,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1776.8999999999999,1816.12,1829.58,1830.3,7,7,0
2021,2,Christian Mingle,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,1721.7000000000003,1752.4599999999998,1726.04,1803.76,6,8,0
2021,3,CeeDees Pitts,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,1619.9199999999998,1942.56,1730.27,1843.28,2,12,0
2021,4,Mikeys Midgets,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,1947.66,1655.5000000000002,1893.21,1800.19,12,2,0
2021,5,Stafford is a  Fraud,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,1892.3999999999996,1810.6,1885.82,1851.6299999999999,10,4,0
2021,6,Draken Dragons,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,1773.4400000000003,1816.72,1875.8799999999999,1820.81,7,7,0
2021,7,Piss Dawgs,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,1595.62,1713.1200000000001,1799.97,1804.79,6,8,0
2021,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,1743.38,1674.1000000000001,1754.1799999999998,1864.33,8,6,0
2021,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,1824.9999999999998,1666.38,1870.33,1840.5,8,6,0
2021,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,1782.9400000000003,1923.42,1817.9100000000003,1823.2,5,9,0
2021,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,1688.8999999999996,1800.42,1812.83,1840.1999999999998,5,9,0
2021,13,Praise Godwin,{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,2066.58,1863.04,1963.02,1836.0500000000002,8,6,0
2022,1,Real Football Team,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1700.44,1811.8199999999997,1725.3499999999997,1792.6399999999996,8,6,0
2022,2,D'Andre 3000,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,1804.5000000000002,1894.3999999999999,1810.02,1766.6399999999999,6,8,0
2022,3,Partners in Flaw,"{5B91BA7E-444A-403C-91BA-7E444AA03C4A}, {D96E6F84-EC60-4EA4-8672-B92B97A2C2FD}",Cameron,1678.58,1761.5399999999995,1759.2000000000003,1775.3599999999997,5,9,0
2022,4,Reg  Szn Merch,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,1652.3599999999997,1584.16,1793.3999999999999,1777.8200000000002,9,5,0
2022,5,pp poopoo,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,2001.4999999999998,1728.22,1878.99,1770.4700000000003,11,3,0
2022,6,Deandre Is back...,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,1937.1399999999999,1635.1,1851.4699999999998,1764.6899999999998,9,5,0
2022,7,Piss Dawgs,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,1677.0199999999998,1761.0800000000002,1775.2799999999997,1824.7099999999998,5,9,0
2022,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,1648.46,1785.9599999999998,1711.2900000000002,1792.1499999999999,4,10,0
2022,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,1810.5600000000002,1686.38,1820.0399999999997,1739.0899999999997,8,6,0
2022,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,1638.78,1808.6799999999998,1691.76,1744.5299999999997,5,9,0
2022,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,1666.9199999999998,1603.98,1747.6599999999999,1762.94,8,6,0
2022,13,Praise Godwin(6-5),{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,1772.0399999999997,1926.98,1746.1499999999999,1799.57,6,8,0
2023,1,The Art of War by Sun Tzu,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,1913.2400000000005,1831.6800000000003,1765.1499999999996,1684.39,8,6,0
